						
						
Subnet	Range	Realm	BU	Type	Location	Description
10.243.0.0/16	10.243.0.1 - 10.243.255.254	CVS	PBM	Cloud	Cloud	Azure
10.33.0.0/16	10.33.0.1 - 10.33.255.254	HCB	Aetna	Cloud	Cloud	3rd Party Cloud Environments
10.86.0.0/16	10.86.0.1 - 10.86.255.254	HCB	Aetna	Cloud	Cloud	Azure for PDCHS Affiliate
10.141.0.0/16	10.141.0.1 - 10.141.255.254	HCB	Aetna	Cloud	Cloud	Azure (VDI)
10.142.0.0/16	10.142.0.1 - 10.142.255.254	HCB	Aetna	Cloud	Cloud	Azure (VDI)
10.157.0.0/16	10.157.0.1 - 10.157.255.254	HCB	Aetna	Cloud	Cloud	GCP
10.159.0.0/16	10.159.0.1 - 10.159.255.254	HCB	Aetna	Cloud	Cloud	Azure
10.174.0.0/16	10.174.0.1 - 10.174.255.254	HCB	Aetna	Cloud	Cloud	AWS
10.208.0.0/16	10.208.0.1 - 10.208.255.254	HCB	Aetna	Cloud	Cloud	AWS
10.209.0.0/16	10.209.0.1 - 10.209.255.254	HCB	Aetna	Cloud	Cloud	Azure
10.210.0.0/16	10.210.0.1 - 10.210.255.254	HCB	Aetna	Cloud	Cloud	Azure (Aetna International)
10.245.0.0/16	10.245.0.1 - 10.245.255.254	HCB	Aetna	Cloud	Cloud	AWS
10.247.0.0/16	10.247.0.1 - 10.247.255.254	HCB	Aetna	Cloud	Cloud	GCP
10.252.0.0/16	10.252.0.1 - 10.252.255.254	HCB	Aetna	Cloud	Cloud	GCP
10.45.0.0/16	10.45.0.1 - 10.45.255.254	Conflict	Conflict	DataCenter	Mixed	DC Networks (PDC vs. WON)
10.249.0.0/16	10.249.0.1 - 10.249.255.254	Conflict	Conflict	DataCenter	1CVS	DC to DC conflict (Frozen on HCB Network - Expanding on PBM/Retail)
10.0.0.0/16	10.0.0.1 - 10.0.255.254	CVS	Retail	DataCenter	2100	Retail Supernet
10.3.0.0/16	10.3.0.1 - 10.3.255.254	CVS	Retail	DataCenter	1CVS	RxAmerica
10.4.0.0/16	10.4.0.1 - 10.4.255.254	CVS	Retail	DataCenter	1CVS	DataCenter Networks
10.5.0.0/16	10.5.0.1 - 10.5.255.254	CVS	PBM	DataCenter	Shea	DataCenter Networks
10.6.0.0/16	10.6.0.1 - 10.6.255.254	CVS	Retail	DataCenter	2100	DataCenter Networks
10.7.0.0/16	10.7.0.1 - 10.7.255.254	CVS	Retail	DataCenter	1CVS	DataCenter Networks
10.9.0.0/16	10.9.0.1 - 10.9.255.254	CVS	PBM	DataCenter	Shea	DataCenter Networks
10.16.0.0/16	10.16.0.1 - 10.16.255.254	CVS	Retail	DataCenter	1CVS	DataCenter Networks
10.18.0.0/16	10.18.0.1 - 10.18.255.254	CVS	Retail	DataCenter	1CVS+2100	DataCenter Networks
10.19.0.0/16	10.19.0.1 - 10.19.255.254	CVS	PBM	DataCenter	1CVS	DataCenter Networks
10.20.0.0/16	10.20.0.0 - 10.20.255.255	CVS	PBM	COLO	Las Vegas	Datacenter Networks (CO-LO Switch)
10.36.0.0/16	10.36.0.1 - 10.36.255.254	CVS	PBM	DataCenter	Shea	Partnet - AmerisourceBergen
10.62.0.0/16	10.62.0.0 - 10.62.255.255	CVS	PBM	DataCenter	Shea	DataCenter Network - (XPE DMZ)
10.65.0.0/16	10.65.0.0 - 10.65.255.255	CVS	Retail	DataCenter	1CVS	DataCenter Networks - RXConnect
10.67.0.0/16	10.67.0.0 - 10.67.255.255	CVS	Retail	DataCenter	1CVS+2100	DataCenter Networks
10.72.0.0/16	10.72.0.0 - 10.72.255.255	CVS	Retail	DataCenter	2100	DataCenter Networks - Watertown
10.77.0.0/16	10.77.0.0 - 10.77.255.255	CVS	Retail	DataCenter	2100	DataCenter Networks
10.78.0.0/16	10.78.0.0 - 10.78.255.255	CVS	Retail	DataCenter	1CVS+2100	DataCenter Network - RXConnect
10.79.0.0/16	10.79.0.0 - 10.79.255.255	CVS	Retail	DataCenter	2100	DataCenter Network - RXConnect
10.92.0.0/16	10.92.0.0 - 10.92.255.255	CVS	Retail	DataCenter	1CVS	DataCenter Networks - RXConnect
10.93.0.0/16	10.93.0.0 - 10.93.255.255	CVS	PBM	DataCenter	Shea	DataCenter Networks
10.94.0.0/16	10.94.0.0 - 10.94.255.255	CVS	PBM	DataCenter	Shea	DataCenter Networks
10.110.0.0/16	10.110.0.0 - 10.110.255.255	CVS	PBM	DataCenter	Shea	DataCenter Networks
10.118.0.0/16	10.118.0.0 - 10.118.255.255	CVS	PBM	DataCenter	Shea	DataCenter Networks
10.119.0.0/16	10.119.0.0 - 10.119.255.255	CVS	PBM	DataCenter	Shea	DataCenter Networks
10.123.0.0/16	10.123.0.0 - 10.123.255.255	CVS	PBM	DataCenter	Shea	DataCenter Networks (Mixed with Omnicare)
10.124.0.0/16	10.124.0.0 - 10.124.255.255	CVS	PBM	DataCenter	Shea	DataCenter Networks (Mixed with Omnicare)
10.127.0.0/16	10.127.0.0 - 10.127.255.255	CVS	PBM	DataCenter	Shea	DataCenter Networks
10.128.0.0/16	10.128.0.0 - 10.128.255.255	CVS	PBM	DataCenter	Shea	DataCenter Networks - Backup Network
10.129.0.0/16	10.129.0.0 - 10.129.255.255	CVS	PBM	DataCenter	Shea	DataCenter Networks
10.131.0.0/16	10.131.0.0 - 10.131.255.255	CVS	PBM	DataCenter	Shea	DataCenter Networks
10.134.0.0/16	10.134.0.0 - 10.134.255.255	CVS	Retail	DataCenter	1CVS+2100	DataCenter Networks
10.156.0.0/16	10.156.0.0 - 10.156.255.255	CVS	Retail	DataCenter	2100	DataCenter Networks
10.180.0.0/16	10.180.0.0 - 10.180.255.255	CVS	PBM	DataCenter	VPN	DataCenter Networks
10.181.0.0/16	10.181.0.0 - 10.181.255.255	CVS	PBM	DataCenter	VPN	DataCenter Networks
10.200.0.0/16	10.200.0.0 - 10.200.255.255	CVS	Retail	DataCenter	1CVS	PBM MISC
10.203.0.0/16	10.203.0.0 - 10.203.255.255	CVS	Retail	DataCenter	Remote Sites	Mix of Omnicare and PBM
10.204.0.0/16	10.204.0.0 - 10.204.255.255	CVS	PBM	DataCenter	Shea	DataCenter Networks
10.214.0.0/16	10.214.0.0 - 10.214.255.255	CVS	PBM	DataCenter	Shea	DataCenter - Shea ACI
10.217.0.0/16	10.217.0.0 - 10.217.255.255	CVS	PBM	DataCenter	Shea	DataCenter - Shea ACI
10.220.0.0/16	10.220.0.0 - 10.220.255.255	CVS	Retail	DataCenter	2100	DataCenter - ACI Fabric
10.221.0.0/16	10.221.0.0 - 10.221.255.255	CVS	Retail	DataCenter	1CVS	DataCenter - ACI Fabric
10.222.0.0/16	10.222.0.0 - 10.222.255.255	CVS	PBM	DataCenter	Shea	DataCenter Networks
10.226.0.0/16	10.226.0.0 - 10.226.255.255	CVS	PBM	DataCenter	Shea	DataCenter Networks
10.227.0.0/16	10.227.0.0 - 10.227.255.255	CVS	PBM	DataCenter	Shea	DataCenter Networks
10.228.0.0/16	10.228.0.0 - 10.228.255.255	CVS	Retail	DataCenter	1CVS+2100	DataCenter Networks
10.230.0.0/16	10.230.0.0 - 10.230.255.255	CVS	Retail	DataCenter	2100	SIP - Store HeadEnds
10.231.0.0/16	10.231.0.0 - 10.231.255.255	CVS	Retail	DataCenter	Shea	SIP - Store HeadEnds
10.237.0.0/16	10.237.0.0 - 10.237.255.255	CVS	Retail	DataCenter	1CVS	Minute Clinic
10.244.0.0/16	10.244.0.0 - 10.244.255.255	CVS	Retail	DataCenter	1CVS	DataCenter Networks
10.248.0.0/16	10.248.0.0 - 10.248.255.255	CVS	Retail	DataCenter	1CVS	DataCenter Networks
10.253.0.0/16	10.253.0.0 - 10.253.255.255	CVS	Retail	DataCenter	1CVS	DataCenter Networks
204.99.0.0/16	204.99.0.0 - 204.99.255.255	CVS	PBM	DataCenter	Shea	DataCenter Networks
10.28.0.0/16	10.28.0.0 - 10.28.255.255	HCB	Aetna	DataCenter	Middletown	NAT to DMZ F5
10.29.0.0/16	10.29.0.0 - 10.29.255.255	HCB	Aetna	DataCenter	Windsor	NAT to DMZ F5
10.40.0.0/16	10.40.0.0 - 10.40.255.255	HCB	Aetna	DataCenter	Phoenix	CVTY DataCenter Networks
10.42.0.0/16	10.42.0.0 - 10.42.255.255	HCB	Aetna	DataCenter	Phoenix	PDCHS DataCenter Networks
10.43.0.0/16	10.43.0.0 - 10.43.255.255	HCB	Aetna	DataCenter	Phoenix	PDCHS DataCenter Networks
10.46.0.0/16	10.46.0.0 - 10.46.255.255	HCB	Aetna	DataCenter	Phoenix	CVTY DataCenter Networks
10.47.0.0/16	10.47.0.0 - 10.47.255.255	HCB	Aetna	DataCenter	Middletown	Middletown
10.52.0.0/16	10.52.0.0 - 10.52.255.255	HCB	Aetna	DataCenter	Middletown	F5 - Test and QA VIP Pool
10.53.0.0/16	10.53.0.0 - 10.53.255.255	HCB	Aetna	DataCenter	Middletown	F5 - Test and QA VIP Pool
10.54.0.0/16	10.54.0.0 - 10.54.255.255	HCB	Aetna	DataCenter	Middletown	DataCenter - Management IP
10.102.0.0/16	10.102.0.0 - 10.102.255.255	HCB	Aetna	DataCenter	Windsor	DataCenter - PBX
10.103.0.0/16	10.103.0.0 - 10.103.255.255	HCB	Aetna	DataCenter	Phoenix	AETH Server Networks
10.104.0.0/16	10.104.0.0 - 10.104.255.255	HCB	Aetna	DataCenter	Middletown	DataCenter - PBX
10.105.0.0/16	10.105.0.0 - 10.105.255.255	HCB	Aetna	DataCenter	Windsor	DataCenter - PBX
10.144.0.0/16	10.144.0.0 - 10.144.255.25	HCB	Aetna	DataCenter	Phoenix	CVTY DataCenter Networks
10.251.0.0/16	10.251.0.0 - 10.251.255.255	HCB	Aetna	DataCenter	Phoenix	CVTY DataCenter Networks
167.69.0.0/16	167.69.0.0 - 167.69.255.255	HCB	Aetna	DataCenter	MID+WIN	DataCenter Networks
157.121.0.0/16	157.121.0.0 - 157.121.255.255	HCB	Aetna	DataCenter	MID+WIN	DataCenter Networks
206.213.192.0/18	206.213.192.0 - 206.213.255.255	HCB	Aetna	DataCenter	MID+WIN	Internet / External Facing Networks
12.10.217.0/24	12.10.217.0 - 12.10.217.255	HCB	Aetna	DataCenter	PDC	Internet / External Facing Networks
65.241.18.0/24	65.241.18.0 - 65.241.18.255	HCB	Aetna	DataCenter	PDC	Internet / External Facing Networks
208.66.124.0/24	208.66.124.0 - 208.66.124.255	HCB	Aetna	DataCenter	Windsor	Internet / External Facing Networks
62.73.149.0/24	62.73.149.0 - 62.73.149.255	HCB	Aetna	DataCenter	LON	Internet / External Facing Networks
204.124.108.0/22	204.124.108.0 - 204.124.111.255	HCB	Aetna	DataCenter	M and A	Internet / External Facing Networks
12.252.19.128/29	12.252.19.128 - 12.252.19.135	HCB	Aetna	DataCenter	MID	VizNet External NAT Pool
10.8.0.0/16	10.8.0.0 - 10.8.255.255	Shared	Retail	DataCenter	1CVS	DataCenter Networks
10.10.0.0/16	10.10.0.0 - 10.10.255.255	Shared	PBM	DataCenter	Shea	DataCenter Networks
10.55.0.0/16	10.55.0.0 - 10.55.255.255	Shared	PBM	DataCenter	Shea	DataCenter Networks
10.1.0.0/16	10.1.0.0 - 10.1.255.255	Shared	PBM	Private	Shea	AZ Shea Data / IVR / Voice
10.66.0.0/16	10.66.0.0 - 10.66.255.255	CVS	Retail	Unknown	Unknown	Unknown - Need to chase this one out
10.70.0.0/16	10.70.0.0 - 10.70.255.255	CVS	Retail	Unknown	Unknown	
10.250.0.0/16	10.250.0.0 - 10.250.255.255	CVS	Retail	Unknown	Unknown	Unknown - Need to chase this one out
10.255.0.0/16	10.255.0.0 - 10.255.255.255	CVS	Retail	Unknown	Unknown	
10.98.0.0/16	10.98.0.0 - 10.98.255.255	CVS	PBM	VDI	Cloud	Azure VDI - PSS
10.99.0.0/16	10.99.0.0 - 10.99.255.255	HCB	Aetna	VDI	Middletown	VDI Networks
10.176.0.0/16	10.176.0.0 - 10.176.255.255	HCB	Aetna	VDI	Middletown	TechM DaaS Ranges - VDI
10.177.0.0/16	10.177.0.0 - 10.177.255.255	HCB	Aetna	VDI	Middletown	TechM DaaS Ranges - VDI
10.178.0.0/16	10.178.0.0 - 10.178.255.255	HCB	Aetna	VDI	Windsor	TechM DaaS Ranges - VDI
10.179.0.0/16	10.179.0.0 - 10.179.255.255	HCB	Aetna	VDI	Windsor	TechM DaaS Ranges - VDI
10.138.0.0/16	10.138.0.0 - 10.138.255.255	CVS	Retail	VPN	1CVS	VPN - AnyConnect
10.139.0.0/16	10.139.0.0 - 10.139.255.255	CVS	PBM	VPN	Shea	VPN - AnyConnect
10.148.0.0/16	10.148.0.0 - 10.148.255.255	CVS	Retail	VPN	1CVS	VPN - AnyConnect
10.205.0.0/16	10.205.0.0 - 10.205.255.255	CVS	PBM	VPN	Shea	VPN - AnyConnect
10.219.0.0/16	10.219.0.0 - 10.219.255.255	CVS	PBM	VPN	Shea	AnyConnect Expansion
10.44.0.0/16	10.44.0.0 - 10.44.255.255	HCB	Aetna	VPN	Phoenix	CVTY DataCenter Networks
10.56.0.0/16	10.56.0.0 - 10.56.255.255	HCB	Aetna	VPN	Middletown	VPN - AnyConnect
10.57.0.0/16	10.57.0.0 - 10.57.255.255	HCB	Aetna	VPN	Windsor	VPN - AnyConnect
10.59.0.0/16	10.59.0.0 - 10.59.255.255	HCB	Aetna	VPN	Middletown	VPN - Meraki Telework
10.60.0.0/16	10.60.0.0 - 10.60.255.255	HCB	Aetna	VPN	Middletown	VPN - AnyConnect
10.61.0.0/16	10.61.0.0 - 10.61.255.255	HCB	Aetna	VPN	Windsor	VPN - AnyConnect
10.63.0.0/16	10.63.0.0 - 10.63.255.255	HCB	Aetna	VPN	Windsor	VPN - Meraki Telework
